Date,City,Score,Review_usage,Review_pro,Review_contra,Review_comment,Like_count,Dislike_counts,Shop_review
9 часов назад,Выборг,5,Не указано,Оригинальный,Нет,Как всегда на высоте.,0,0,Good Phone
5 часов назад,Калининград,5,Не указано,"Телефон оригинал.
Пломбы коробки были на месте.
Работает отлично.",Нету.,Спасибо магазину G8 за быструю доставку✌🏼,0,0,G8
6 часов назад,Нефтекамск,5,Не указано,"Как новый, нет косяков и прочего, упаковка оригинал","Пока не обнаружил, пользуюсь пару дней","Как новый, не нашел пока косяков и надеюсь не найти, перекинул все даанные за 5 минут со старого айфона",0,0,DEW
5 часов назад,Нижний Новгород,5,Не указано,Айфон,"Таковых не имеется, все супер, жене нравится",Не указано,0,0,Market Gadget
8 часов назад,Шахты,5,Не указано,"Все супер. Товар пришел вовремя, оригинал.",Нет,Айфон есть Айфон,0,0,608:Store
11 часов назад,Казань,5,Не указано,Не указано,Не указано,Пришел оригинальный,0,0,S.Store
10 часов назад,Москва,5,менее месяца,"Отличный смартфон, быстро запустили.",Не указано,Спасибо продавцу за быструю доставку!,0,0,EXCESSORIZ
9 часов назад,Санкт-Петербург,5,Не указано,"Легкий, быстрый, удобный в руке. После 11 камера здесь очень крутая",Стоит не 20 тысяч. За 20 было бы лучше,Доволен полностью. Начал много фоткать и снимать,0,0,iSales
Вчера,Нижний Новгород,5,Не указано,Аккуратно упакован.,Нет,"Пришел достаточно быстро, упакован безопасно.",0,0,Электро Галактика
23 часа назад,Коломна,5,Не указано,"Орига, для рынка Индии. Фул в заводской упаковке.",Нет. Помятая коробка не в счёт.,Однозначно приду в этот магазин ещё.,0,0,Неизвестно
23 часа назад,Коломна,5,Не указано,"Орига, для рынка Индии. Фул в заводской упаковке.",Нет. Помятая коробка не в счёт.,Однозначно приду в этот магазин ещё.,0,0,Неизвестно
Вчера,Долгопрудный,5,Не указано,"Легкий, нежный цвет, удобный",Не наблюдаем,"Покупала сестре в подарок, мелкая осталась довольна, цвет космический просто. Сама подумываю перейти с про на обычную версию, в руке сидит просто сказка",0,0,Apple Mall
Вчера,Москва,5,Не указано,"Оригинальный, претензий нет",Не указано,Не указано,0,0,EXCESSORIZ
Вчера,Москва,5,Не указано,"Телефон оригинальный ,камера великолепная ,в общем айфон есть айфон",Не обнаружила,Не указано,0,0,MOBILE-ROOMS
Вчера,Сертолово,5,Не указано,"Хороший телефон,пришел быстро ,отличная камера",недостатков не выявлено,Не указано,0,0,Good Phone
Вчера,Парголово,5,Не указано,"Быстрая доставка, цена ниже, чем у конкурентов",Не обнаружено,"Телефон приехал за пару дней, всё отлично. Работает идеально, никаких недостатков не обнаружено",0,0,RINGтон
Вчера,Железногорск,4,Не указано,Нормально работает,"Заказывала Ростест eSIM + nano sim , пришел для Китая dual nano sim 🤡","Обидно, на момент заказа не Ростест стоил на 10к дешевле. +неприятно было обнаружить отсутствие eSIM",0,0,emobile66
Позавчера,Москва,5,Не указано,Крутой,Нет,Все отлично,0,0,RUBIN-OPT
Позавчера,Новороссийск,5,Не указано,Не указано,не нашла,"покупала сыну в подарок. Он счастлив. Телефон работает, настроить не составило труда. Покупкой довольна.",0,0,You:store
