Date,City,Score,Review_usage,Review_pro,Review_contra,Review_comment,Like_count,Dislike_counts,Shop_review
2 недели назад,Новосибирск,4,Не указано,"Все норм, оригинал, доставка в срок, продавец отличный!","Вместо dual nano sim, приехал nano sim +Esim, что доставило лично мне много сложностей","Не разделяю восторга от айфона
, очень много в нем тупости, простые вещи замудреные какие-то, режим модема включается через какие-то дебри🤦‍♀️ к блютузу не подключить другие устройства, комп тоже, наушники, адаптер, аналоги не принимает, почти как Мерседес, отличный авто, красивый, комфортный, но ездить на нем невозможно🤦‍♀️🤣то. Долго его хотела по причине достойной камеры, в итоге разочарование. Да, снимает четко, но не идеально, при не очень хорошем освещении четкости ноль, как и в любой камере. Селфи снимает просто безобразно, никакие настройки не помогают, если включаешь режим портрет, то все цвета искажает(например, у меня голубые глаза и волосы холодный блонд, на фото глаза бледно-зеленые, а волосы желтые😩, как исправить цветопередачу, я не понимаю! Если снимать в режиме «фото», то там вообще кошмар, каждую морщинку, каждую пору, покраснение, все выделяет эта камера и снимок получается просто жуть, у меня даже кот некрасивый на этих фото , как мне сказал один человек, ну ты фотай в обычном режиме, а потом в редакторе все исправишь, т.е. фотошоп. Ну я думаю, мне что заняться нечем больше, чтобы каждое фото редактировать , это бред какой-то🤦‍♀️одно разочарование, а не телефон. Слишком много понтов, слишком распиаренный бренд. Есть интересные нужны фишки, но из-за них точно не стала покупать телефон этот. на айфон, переход был очень сложный, занял аж несколько дней, перенеслось частично (в ватс апе, и в контактах криво), плюс этот бред с установкой Сбера и Тинькофф пришлось ехать в банк🤦‍♀️. Вернулась в каменный век🤣Все бесит в нем, тупая клавиатура, многие символы отсутствуют, тупой калькулятор даже, будильник🤦‍♀️
очень много моментов, которые не нравятся. У меня вопрос к пользователям андроидов, какими вы пользовались телефонами, что вы были в восторге от айфона, у меня был достойный Самсунг, он гораздо интереснее во всех смыслах, пришлось его сменить из-за устаревших функций, в нем все летало. Была бы возможность, я бы лучше купила",0,0,Digital Planet
Месяц назад,Горьковский,4,Не указано,"Качество сборки и материалов
Производительность
Заряд батареи
Продуктивность
Приложения работают прекрасно
Безопасность
Долговечность","Дисплей на 60Гц
Неудобный сафари
Бесполезная сири
Непроработанная клавиатура","Сравниваю с другим устройством, каким не буду говорить.
Качество сборки и материалов действительно радуют, очень стильный, но красивый и прочный , процессор летает, безопасность на уровне, телефон на 10тилетия
Но минусы его все равно покоя не дают. За такую цену могли бы добавить хотя бы 90гц и сделать нормальную клавиатуру. Минимализм и эстетичность никак не перекрывают минус неудобного пользования от скорости печатания, до удобства исправления текста. Сафари не хватает удобства пользования аналогичное яндексу или гугл, но это единственный не достаток. Сири ни то чтобы важна, но для пользователей ассистентов лучше выбрать конкурентную алису или гугл
4 звезды. Телефон действительно зорош во многом, но увы, не вовсем. А со своими возможностями могли ды и исправить хти ощутимые недочеты, все таки цены на устройства от 800$ и выше",0,0,Неизвестно
Неделю назад,Всеволожск,4,Не указано,"Работает…)
Дополняю 6.05… и е-сим тоже работает)",Нано и е-сим…,"Звезду сняла за несоответствие описания и то что получила…
При выборе телефона главным было наличие двух сим карт…нано сим карт!!!В описании 2 нано сим карты, на самом деле одна нано, а вторая е-сим, но не знаю будет она у нас работать, тк телефон сделан для другой страны, а работает это не во всех странах, через телефон загрузить е-сим не получилось, нужно обращаться к оператору но и это ещё не всё … вообщем столкнулась с трудностями…грустно…",0,0,S.Store
Неделю назад,Ейск,4,Не указано,"Смартфон оригинальный, произведён в Индии. До активации был проверен на сайте apple. Тестирую для себя новую оболочку ios, так постоянно использую андроид, разница конечно есть. Визуально всё работает, хороший звук, камера соответствует заявленным характеристикам и делает прекрасные фото и видео","очень скудная упаковка обычная коробка без защитного пакета, заводские пломбы были заклеены серебристой лентой не понятно для чего и кем, в целом на состояние товара не повлияло.",Не указано,0,0,1Store.
Не указано,Не указано,4,Не указано,Фоткает в темноте.,"Необоснованно дорого. В комплекте только кабель для зарядки, даже без сетевого адаптера, просто провод и всё.","Что сказать? Горе-айфон, в комплекте ничего нет, хорошо что провод для зарядки положили (в новом, наверное, и его не будет, за 5к отдельно надо будет покупать оригинал) и хорошо что в коробочке (новые, наверное, будут в вакуумных пакетиках продавать) Музыку бесплатно не прослушать, нормально свой старый телефон не скопировать в него, в общем, жена долго материлась. Из плюсов - в темноте фоткает.",0,0,Неизвестно
Месяц назад,Санкт-Петербург,4,менее месяца,"Упаковка , внешний вид , телефон без единой царапины , внешнее состояние идеальное , аккумулятор 100%",Пока не обнаружила,"Заказывала в черном цвете , прислали в темно синем, но я не расстроилась ( либо это такой оттенок черного, я так и не поняла )
Интересует вопрос по адаптеру, оригинальный он ? По имеи не пробивается
Заявлено что дуал нано сим
По факту можно вставить только одну симку ((((",0,0,White Store
2 месяца назад,Старая Купавна,4,менее месяца,"Хороший айфон, красивый, ну как обычный айфон. Мне понравился, упаковано очень хорошо, без сколов и царапин. Советую к покупке!🥰","Лично у меня, оочень быстро садится зарядка. За 10 минут, может потерять 5-8%. Не знаю, что с этим делать 🤷‍♀️
Пишу это спустя время. Все приложения прогрузились и теперь с зарядкой все хорошо. Салится медленно. Если боитесь покупать, не бойтесь 😊","Очень боялась покупать, потому что сумма не маленькая, но решилась и не пожалела. Очень классный айфон, всем советую.",0,0,BaltStore
2 месяца назад,Чебоксары,4,менее месяца,"Телефон оригинальный, о чем заверил сотрудник службы поддержки apple.",Серийный номер и демо-образец,"службу поддержки обратилась, так как при проверке imei устройства обнаружилось, что куплен он в январе 2007 года. Айфон 14 - в 2007 году. Гарантия на него также не распространяется, так как телефон был предназначен для витринного демо-образца, о чем продавцу, думаю, следовало упомянуть. Серийный номер начинается не с буквы, а с цифры 5.",0,0,Apple Mall
3 месяца назад,Санкт-Петербург,4,менее месяца,Не указано,Не указано,"Телефон упакован только в пакет. Коробка помятая, но сам телефон цел. Упаковка была запечатана серыми наклейками, надеюсь, что это только из-за того, что телефон нужно было проверить при покупке для индийского рынка. Задняя поверхность телефона была заляпана пальцами, но никаких царапин нет. На оригинальность телефон прошел проверку. В настройках написано, что телефон куплен в январе 2024г, это так и есть. Сим-карту телефон видит, никаких проблем не возникло.
Очень боялась заказывать, но вроде как всё пока хорошо",0,0,TECHNOTON
2 месяца назад,Челябинск,4,менее месяца,В целом не плохо),"Есть недостаток, скачала Вайбер и ватсап, при регистрации вылазит левый номер телефона, боюсь что им уже пользовались), ну а так вроде оригинал), посмотрим как будет в работе, все совпадает, гарантия год), фото выложила скрина, слово нет пишется не так)))), видимо подделка, или может просто обновила до новой версии, ну в общем работает быстро)","Упаковано все аккуратно, практично, спасибо)",0,0,1Store.
