Date,City,Score,Review_usage,Review_pro,Review_contra,Review_comment,Like_count,Dislike_counts,Shop_review
Месяц назад,Балашиха,5,Не указано,"Это айфон, качество техники как всегда на высоте",Часто заранее активированный продают.,"В общем смотрите у кого и как покупаете. При заказе в информации о товаре смотрите есть ли надпись ""Модель может быть активирована заранее, при этом является абсолютно новой, без привязки к аккаунту Apple ID. Это не влияет на гарантию, внешний вид и функциональность товара.""(цитата магазинов) . Если такое есть, то сразу советую отменить заказ, потому что некоторые продавцы не знают или специально впаривают, что это нормально. Почему-то продавцы таких девайсов не знают, что активация происходит только при включении телефона и привязке его к AppleID и последующей его отвязкой, но усираются, что его не открывали... Сразу говорю, что если это покупается в крупном магазине, то к товару может быть доверие, но если это заказ в интернете, то вы должны понимать, что устройство 100% вынималось из коробки и туда могли положить пересобранное устройство под видом нового, а так же могут и вовсе забыть выйти из AppleID, а если покупка за наличку, то с возвратом у вас могут возникнуть проблемы(Так же были случаи, что забывали выходить из AppleID в крупных магазинах, куда приходится идти и отвязывать его или менять на другой, как вы с этим будете разбираться через маркет, сами можете представить, особенно если оплата была на наличку и приезжал не курьер яндекса, а самого магазина). В нормальных магазинах продают нулёвые телефоны, в том же ReStore. который есть и на яндексе, и просто сеть магазинов, продают из других стран телефоны, но не активированные, так же есть и другие продавцы с нормальным товаром. Не ведитесь на цену в 10тыс дешевле. Если вам будут настоятельно указывать что это норм, магазины по типу PleerRu и т.п, то не слушайте и покупайте где угодно, но только неактивированные телефоны.",62,53,Неизвестно
Неделю назад,Саратов,5,Не указано,нет смысла перечислять. все и так понятно,лично для меня нет,"работает по красоте, айфон ориг, сделан для рынка китая, двухсимочный, а есим, конечно, на нем не работает. но он мне и не нужен. напоминаю, что гарантия 1 год, т.е., ограниченная. цена: 62к.
покупала у digital planet. адрес какой-то левый, никаких данных особо нет. заявлено, что техника из оаэ, но я очень сомневаюсь в том, что айфон оттуда. вероятнее всего, он доставляется из китая.
пробивала трек номер на танаис (служба доставки) после того, как товар пересек границу. таможню прошел за кратчайшее время, а пошлину я не платила, т.к. сумма товара не превышала двухсот евро и была довольно легкой. кстати, телефон не был особо запакован. по моей памяти он был в обычном черном курьерском пакете. обычно так упаковывают легкие небьющиеся товары, которые не могут пострадать при транспортировке. каким-то чудом все пришло целое и невредимое.
когда заказывала, было очень ссыкотно, думала, что какой-то реф, ну или еще что похуже. я мониторила отзывы продавца, наткнулась на один отрицательный на отзовике. парень там писал, что заказал у этого продавца 15 прошку, а ему доставили пустую коробку из под 14 про, внутри вообще лежала только скрепка для сим лотка. и тут я засомневалась. но в итоге все обошлось, и сейчас я пишу с нового айфона.
прошло около месяца с покупки. специально ждала некоторое время, чтобы оставить отзыв. и на мое удивление за это время не было никаких проблем с телефоном. все работает великолепно, ничего не тормозит. камера очень даже, фото прилагаю.
рекомендую к покупке у этого продавца.
если возникли вопросы, я на них отвечу.",13,5,Digital Planet
6 месяцев назад,Казань,5,несколько месяцев,"Цена ниже, чем у офлайн продавцов.
Быстрая доставка.
IMEI проходит проверку, телефон ни разу не активирован.
Отзывчивый продавец. Включался в разговор, когда появилась проблема с переносом данных со старого айфона на новый.","Ощущение, что совсем отсутствует влагозащита. Один раз на телефон попали брызги из бассейна (капли!). Динамики начали хрипеть. Капли дождя также повлияли на работу динамиков. Приходилось сушить и выгонять влагу специальными приложениями. Коллеги с такими же телефонами, купленными в оригинальных магазинах, спокойно плавают с телефоном в бассейне и не боятся брызг. Есть подозрение, что телефон вскрывался и была нарушена герметизация (но это только предположение! Сам телефон цел и никаких следов вскрытия я не нашла).","Пользуюсь телефоном 10 месяцев. В целом все устраивает, заряд держит почти 2 дня при постоянном использовании ТГ, частом прослушивании музыки или просмотра ютуб. Перешла с 7ки, 14ый удобно лежит в руке, легкий, не греется. Нет фокусировки при близкой съемке объекта, как и писали ранее. Приходится снимать подальше, но с зумом (это если вы любите макро снимки) При съемке х0,5 появляются шумы, качество портретной съемки и на х1 отличное.
Отличный звук и экран, но после 7ки все кажется отличным. Нравится, что пока не особо замечено каких-либо подтупливаний телефона в ходе использования.
Единственное теперь боюсь воды и стараюсь вообще никак не капать на телефон водой, иначе снова ожидание, что динамики накроются.
При переносе информации с 7ки на 14ый намучилась, т.к. пришлось пошаманить с функцией Быстрое начало. Предупреждаю, что нужно сразу поставить телефоны на что-то охлаждающее, держать их на зарядке и не давать выключаться экрану в процессе переноса информации. У меня телефоны лежали на лотках замороженной клюквы, ибо иначе 14ый каждый раз писал об ошибке переноса.",19,12,iStudio
3 месяца назад,Казань,5,менее месяца,"Камера, дизайн, габариты, экран, система iOS и мощность начинки","Аккумулятор - для меня мало.
Многие функции и приложения не работают, думаю и так понятно почему.","Перешел с Android системы, а именно Poco X3 Pro, сразу же почувствовал разницу как в габаритах так и в начинке с дизайном.
Дизайн, привлек, ну очень уж понравился.
Габариты, маленький удобный, в кармане носить удобно как и держать в руке.
Начинка, не разбираюсь в мощности iPhone, но знаю точно, что система оптимизирована, очень качественная и защищеная, так что со временем тупить не будет.
Сама начинка, а именно система IOS, после андроида тяжело было привыкнуть, но я смог).
Качество фото и видео отличное.
Цена, ну тут тяжело , понятно что плачу за бренд и качество но меня пугает не цена а то что страшно его разбить, а разбить его легко.
Любители Тиктоков, радуйтесь, вы будете развиваться, ведь на айфоне ТТ мод как на андроиде не скачать, сертификаты не покупайте (слетают).
Из-за защищенной системы нельзя скачивать так называемые пиратки/взломки ибо тут не all а ipa(вроде бы оно) Это тоже нужно знать.
На счет продавца, как только купил он ту же закрыл магазин, было страшно, но все же через 2 дня открылся заново и мой телефон пришел, пришел в целости и сохранности, пломбы на месте, телефон оригинальный, аккумулятор 100%.
Давно хотел IPhone , купил, теперь очень рад.
Продавец прошу больше так не делать , я чуть от инфаркта не помер☺️👌🏻",19,14,Prosto-Technika
2 месяца назад,Рязань,5,Не указано,"Бренд, очень быстрый и современный, красивый, удобный. Упаковано в коробку картонную + пакет.","Как многие сказали, проблемы с установкой сбера, но остальные проги есть. И немного грязная белая коробка самого айфона","Настоящий оригинальный новый Айфон. Не вскрыт, не активирован, не восстановлен. Проверял серийный номер на сайте эппл, гарантия год, устройство пробивается. Посмотрел в настройках, действительно для рынка Индии (буквы в серийном номер NH).
Никаких отличий от айфонов в магазинах, которые дороже на 10-30 000.
Меню такое же, вай-фай написан, как WiFi, а не WLAN, как у айфонов для китайского рынка.

Еще добавлю, поверх эппловских пломб на коробке, были налеплены пломбы продавца, для надежности, продавец для своей же безопасности это сделал.

Минус только 1, коробка, хоть и упакована, грязноватая, уголки чуть мятые (будто валяются на складе до отправки), а клей от пломб остается на ней, всё липкое. Некоторые отмывали. Оценку из-за этого не занижаю, мне не страшно. Но обязан был об этом сказать, т.к. если дарить в подарок, то конечно хотелось бы идеальную коробку.
Ставлю 5 звезд. Спасибо продавцу за качественный и целый айфон, без единого повреждения. Это самое важное)",10,10,Prosto-Technika
Год назад,Волгоград,5,менее месяца,"Камера, общая шустрость), хорошо держит заряд батареи, яркий экран","Отсутствие зарядного устройства в комплекте(так и должно быть со стороны Apple, но не должно быть с моей стороны как потребителя, рассказы про экологию оставьте подросткам), очень маркий, нет 3.5 мм разъёма (Вообще придирка, я знал про это, но на момент покупки забыл)","Новый, не активированный в полностью запечатанной упаковке. Брал в цвете ""тёмная ночь"" на 128ГБ. Магазин ""PRO-Store"" на 2.01.2023 обошёлся в 70500. Брал в комплектации 2esim, однако пришёл с 1 слотом нано сим, и как я понял (первый айфон всё таки) можно подключить ещё одну eSIM. Комплектация стандартная - телефон, коробка, провод, наклейка, и прочие бумажки. Зарядки нет и не должно быть конечно, но как то грустно от этого, телефон не дешёвый всё таки. Смартфон не плохой, отлично снимает, очень хорошо снимает ночью, с моим использованием мне хватает на 2-е суток. Переходил с Samsung, и понятно что есть непривычные моменты особенно отсутствие кнопки назад снизу, но это дело наживное, за день привык. Понравилось как он подстраивает подсветку - я её настроил 1 раз и больше не трогал, за неделю работы мне ни разу не понадобилось отрегулировать подсветку, ни ночью, ни днём.

Из всех удалённых приложений из APP Store мне нужен был только 2GIS, но так как телефон по умолчанию имеет альтернативы + тот же 2GIS доступен из браузера - быстро адаптировался. Удивило то что приложения купленные на андройде спокойно перенеслись на IOS, как пример - пожизненый премиум в Simpler - ввёл логин пароль, готово.

По звуку, очень громкий основной динамик, звук хороший, но как по мне слишком басовитый. К телефону куплены наушники Fiio FW1 - отлично звучат, отлично сопрягаются.

Что не понравилось в самом iOS - невозможность использовать телефон как флешку - без iTunes ты туда ничего не закинешь, ни музыку, ни фото, ничего, а если закинул через приложение фото, то не можешь удалить(ЧТО?).

Не фанат брендов, выбирал телефон по 3-м параметрам : хорошая камера, хорошая автономность, длительная поддержка, по камерам выбор упал на 3 смартфона Google Pixel 7, Samsung S22, Iphone 14, по поддержке вылетел самсунг (1 год поддержки флагмана - я пас), а по автономности пиксель, ибо на яндексе куча отзывов что он не держит заряд до конца дня.",26,4,PRO-Store
Месяц назад,Волхов,5,Не указано,"Во-первых, дизайн айфона 14 является шедевром. Он имеет стильный и элегантный внешний вид с тонкими рамками и безрамочным экраном. Задняя панель выполнена из прочного материала, что придает ему премиальный вид и защищает от царапин.
Разрешение экрана настолько высокое, что изображения и тексты выглядят очень реалистично. Качество цветопередачи также впечатляет,наслаждаюсь просмотроом фильмов,фоток и видосиков
Производительность iPhone 14 на самом высоком уровне. Мне нравится, как быстро я могу переключаться между приложениями и выполнять несколько задач одновременно без каких-либо задержек.
Камера - это чудо техники. Она имеет высокое разрешение и множество функций, которые позволяют делать потрясающие снимки в любых условиях освещения.Он сочетает в себе прекрасный дизайн, высокую производительность, отличную камеру и долгую работу аккумулятора. Если вы ищете смартфон, который будет соответствовать всем вашим потребностям, я рекомендую обратить внимание на iPhone 14.",Для себя я их не обнаружила,Не указано,1,1,ID Store
2 месяца назад,Набережные Челны,5,менее месяца,"Это же айфон, одно достоинство целиком","Не заметил, айфон индийский, но как я понял , это ничего не значит и все работает без ограничений. Только коробка была слегка грязноватая, но и это не проблема, это же при хранении марается, это норм явление","Честно, боялся заказывать, не доверял. Особенно 1-2 продавца с отзывами, у других либо одна оценка либо вообще нет. Айфон приехал в еще одной сверху коробке, что несомненно радует, продавец упаковал в пупырку. Пломбы от самого продавца и оригинальные от эпл сохранились, что значит не вскрывался. Айфон был не активирован, проверил на сайте эпл и показало ошибку (не можем опеределить право на сервисное обслуживание), что говорит мною была совершена активация. Гарантия есть , в настройках отображает. Перешел с андроида с которым ходил неделю, дико настрадался,поэтому извиняюсь за качество фото, разница небо и земля. До этого было айфон 10. Год назад владел айфон 13 про Макс. Этот работает по шустрее. Продавца рекомендую, айфон оригинал, не подделка!!! Камера, яркость, быстрота удобство , все на высоте!!!
Попользуюсь, потом если что дополню отзыв.",2,7,Prosto-Technika
Неделю назад,Брянск,5,Не указано,"Размер, цвет, функции, аккумулятор, абсолютно все.",Для меня недостатков нет.,"Телефон абсолютно новый, неактивированный, запечатанный. Сам телефон после 7-ки просто бомба! Камера отличная, только проблема с фокусом при при фотографировании вблизи (я мастер маникюра, для меня это важно), но все решается макро-линзой. В телефоне 1 физическая симка и е-сим. Все подключила, работает отлично.
Что касается доставки - шел около недели, пришел на день раньше, обожаю Яндекс за это. Продавец упаковал телефон таааак, что я устала распаковывать и до последнего боялась, что окажется кирпич. 😃. Даже коробка не помялась при транспортировке. И в подарок продавец положил силиконовый чехол, огромное за это спасибо! Так что, если что, имейте это в виду и не покупаете заранее, как я.))
В общем, огромное спасибо и продавцу, и Яндексу, и моему мужу за мой замечательный новый телефон!",0,0,Точка Сеть магазинов
2 недели назад,Ковров,5,Не указано,"Шустрый, Прост в настройке для работы основных функций телефона, Игры просто летают. Оригинал, посмотрели по серийному номеру на активацию ранее, меня это порадовало что он прям новый, самый новый не активированный.","По поводу игр - он слишком мощный из-за чего корпус греется, мне немного страшно что он так нагревается.","Свои основные функции и игровые тоже он выполняет идеально. Если вам нужен смартфон на каждый день, чтобы он выполнял свои функции идеально - берите, а если вам нужен только для того чтобы в игры сыграть - лучше берите андроид смартфон заточенные на это, так как на айфоне вы ресурс батареи сожгите очень быстро, а замена батареи в нынешней ситуации в мире будет сильно бить по карману, также приготовитесь к трудности установки многих нужных для вас приложений (из-за санкций СберБанк, ВТБ и Тинькоффа отсутствует)",0,0,Prosto-Technika
